line_id,official_label,predicted_label,log_level,message,template_id,rule_hit,error_reason,recommended_fix
32,-,未知严重事件,FATAL,force load/store alignment...............0,474a647572c3,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
85,-,未知严重事件,FATAL,ciod: LOGIN chdir(/p/gb2/glosli/8M_5000K/t800) failed: No such file or directory,c603480c19d0,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
174,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
175,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
176,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
177,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
178,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
179,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
180,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
194,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
195,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
196,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
197,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
198,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
199,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
200,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
201,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
203,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
204,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
205,-,未知严重事件,FATAL,data address: 0x00000002,ac12124d9f06,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
206,-,未知严重事件,FATAL,data address: 0x00000002,ac12124d9f06,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
207,-,未知严重事件,FATAL,machine check: i-fetch......................0,768bbaedecda,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
208,-,未知严重事件,FATAL,machine check: i-fetch......................0,768bbaedecda,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
209,-,未知严重事件,FATAL,program interrupt: illegal instruction......0,e0f7eef3f509,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
215,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
217,-,未知严重事件,FATAL,instruction address: 0x00004ed8,98d997a2a483,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
219,-,未知严重事件,FATAL,data address: 0x00000002,ac12124d9f06,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
221,-,未知严重事件,FATAL,data address: 0x00000002,ac12124d9f06,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
222,-,未知严重事件,FATAL,data address: 0x00000002,ac12124d9f06,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
224,-,未知严重事件,FATAL,data address: 0x00000002,ac12124d9f06,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
225,-,未知严重事件,FATAL,machine check: i-fetch......................0,768bbaedecda,False,label_definition_or_severe_level_false_positive,人工复核该模板；结合历史正常模板、上下文和组件知识降低误报
